Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Journal of Sugarcane Research,2249-927X,2582-4767,English,Society for Sugarcane Research and Development,No,CC BY-NC-SA,No
Journal of Engineering Science,2075-4914,2706-6835,English,"Faculty of Civil Engineering, Khulna University of Engineering & Technology (KUET)",No,CC BY-NC-ND,No
Journal of Applied Pharmaceutical Research,,2348-0335,English,Creative Pharma Assent,No,CC BY-NC,Yes
Srusti Management Review,0974-4274,2582-1148,English,Srusti Academy of Management,No,"CC BY, CC BY-NC-ND",No
ELTALL,2723-2700,2723-2719,English,institut agama islam negeri (IAIN) ponorogo,No,CC BY-NC,No
Hipotenusa,,2716-3156,"Indonesian, English",Institut Agama Islam Negeri (IAIN) Salatiga,No,CC BY-SA,Yes
Fikri,2527-4430,2548-7620,"Arabic, English, Indonesian",Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,No,CC BY-SA,Yes
Politicon,,2685-6670,"English, Indonesian",Jurusan Ilmu Politik FISIP UIN Sunan Gunung Djati Bandung,No,CC BY-SA,No
Microbiology Indonesia,1978-3477,2087-8575,English,Indonesian Society for Microbiology,No,CC BY-NC,Yes
JGE,2356-1599,2685-6182,"Indonesian, English",Jurusan Teknik Geofisika Fakultas Teknik Universitas Lampung,No,CC BY-NC,Yes
Risenologi,2502-5643,2720-9571,"Indonesian, English",Kelompok Peneliti Muda Universitas Negeri Jakarta,No,CC BY,Yes
"Journal Polingua: Scientific Journal of Linguistics, Literature and Education",,2252-4797,English,Jurusan Bahasa Inggris Politeknik Negeri Padang,No,CC BY-SA,Yes
Jurnal Al-Dustur,2622-5964,2686-6498,"Arabic, English",Institut Agama Islam Negeri Bone,No,CC BY-SA,No
Jurnal PG-PAUD Trunojoyo,2407-4454,2528-3553,Indonesian,"Program Studi Pendidikan Guru Pendidikan Anak Usia Dini, Universitas Trunojoyo Madura",No,CC BY,Yes
Jurnal Theorems (The Original Research of Mathematics),2528-102X,2541-4321,Indonesian,Program Studi Pendidikan Matematika Universitas Majalengka,No,CC BY,Yes
Jurnal Ilmu Keuangan dan Perbankan,2089-2845,2655-9234,"English, Indonesian","Program Studi Keuangan dan Perbankan, Fakultas Ekonomi dan Bisnis, Universitas Komputer Indonesia",No,CC BY-SA,No
Ideas,2338-4778,2548-4192,English,Program Studi Pendidikan Bahasa Inggris Jurusan Tarbiyah Sekolah Tinggi Agama Islam Negeri (STAIN) Palopo,No,CC BY-SA,Yes
Journal of Economics Education and Entrepreneurship,2746-5438,2745-729X,"English, Indonesian","Program Studi Pendidikan Ekonomi Fakultas Keguruan dan Ilmu Pendidikan Universitas Lambung Mangkurat, Banjarmasin",No,CC BY-SA,No
Utamax,2685-0540,2685-4252,English,Universitas Lancang Kuning,No,CC BY-SA,Yes
REiLA,2685-0818,2685-3906,English,Universitas Lancang Kuning,No,CC BY-SA,Yes
Journal of Educational Chemistry,2715-3029,2685-4880,Indonesian,Universitas Islam Negeri Walisongo Semarang,No,CC BY-NC-SA,No
Guidena,2088-9623,2442-7802,"Indonesian, English",Universitas Muhammadiyah Metro,No,CC BY,Yes
Journal of Islamic Accounting and Finance Research,2715-0429,2714-8122,"Indonesian, English",Universitas Islam Negeri Walisongo Semarang,No,CC BY-NC-SA,No
Jurnal Caraka Prabu,2597-4890,2746-4741,"Indonesian, English",universitas jenderal achmad yani,No,CC BY-NC,No
Accounting Profession Journal (APAJI),2715-7695,2686-0058,"English, Indonesian",Universitas Kristen Indonesian Paulus,No,CC BY-SA,No
Jurnal Berita Ilmu Keperawatan,1979-2697,2721-1797,Indonesian,Universitas Muhammadiyah Surakarta,No,CC BY,Yes
Ruukku,,2341-9687,"Swedish, English, Finnish",The University of the Arts Helsinki,No,CC BY-NC-ND,No
Terra,0040-3741,2736-9331,"Swedish, Finnish",Geographical Society of Finland,No,CC BY-NC-SA,No
Gerontologia,0784-0039,2489-494X,"Swedish, Finnish",Kasvun ja vanhenemisen tutkijat ry,No,CC BY-NC-ND,No
Journal of Pancreatology,2096-5664,2577-3577,English,Wolters Kluwer Health/LWW,No,CC BY-NC-ND,No
Media & Viestintä,,2342-477X,Finnish,Media- ja viestintätieteellinen seura Mevi,No,CC BY-NC,No
Kulutustutkimus.Nyt,1797-2345,1797-1985,"Finnish, Swedish, English",Kulutustutkimuksen seura ry,No,CC BY-NC-ND,No
Neuphilologische Mitteilungen,,2736-9714,"Italian, Spanish, German, French, English",Modern Language Society of Helsinki,No,CC BY-NC-ND,No
Brain Disorders,,2666-4593,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Photochemistry and Photobiology,,2666-4690,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Cartilage & Joint Preservation,,2667-2545,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Environmental Challenges,,2667-0100,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Food Hydrocolloids for Health,,2667-0259,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Aging and Health Research,,2667-0321,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Soil Security,,2667-0062,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Computers and Education: Artificial Intelligence,,2666-920X,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Carbohydrate Polymer Technologies and Applications,,2666-8939,English,Elsevier,No,CC BY-NC-ND,Yes
Smart Energy,,2666-9552,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Heart Rhythm O2,,2666-5018,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
"Brain, Behavior, & Immunity - Health",,2666-3546,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
The Journal of Cetacean Research and Management,1561-0713,2312-2692,English,International Whaling Commission,No,CC BY-NC,No
Studies in Christian-Jewish Relations,,1930-3777,English,Center for Christian-Jewish Learning at Boston College,No,CC BY,No
Journal of Communication Pedagogy,2640-4524,2578-2568,English,Central States Communication Association,No,CC BY-NC-ND,No
Dental Anthropology,1096-9411,,English,Dental Anthropology Association,No,CC BY,No
"Women, Midwives and Midwifery",,2775-4448,English,Asosiasi Pendidikan Kebidanan Indonesia (AIPKIND),No,CC BY,Yes
Animal Sentience,,2377-7478,English,WellBeing International,No,"CC BY, CC BY-NC",No
Journal the Winners,1412-1212,2541-2388,English,Bina Nusantara University,No,CC BY-SA,Yes
FOSTER,,2723-4126,English,Faculty of Education and Teacher Training of IAIN Palopo,Yes,CC BY,No
Loquen,1979-9500,2621-1998,English,"Faculty of Education and Teacher Training, Universitas Islam Negeri Sultan Maulana Hasanuddin Banten",No,CC BY-SA,Yes
Lampung Journal of International Law,2656-6532,2723-2603,English,"Faculty of Law, Universitas Lampung",No,CC BY-SA,No
Consortium Psychiatricum,2712-7672,2713-2919,"Russian, English",Eco-Vector,Yes,CC BY,No
Физическая культура. Спорт. Туризм. Двигательная рекреация,2500-0365,,"Russian, English",Chelyabinsk State University,No,CC BY-NC,No
Вестник Брянского государственного университета,2072-2087,2413-9912,"Russian, English, German",Academician I.G. Petrovskii Bryansk State University,No,CC BY-SA,No
Нижневолжский археологический вестник,2587-8123,2658-5995,"English, Russian",Volgograd State University,No,CC BY,No
Научный диалог,2225-756X,2227-1295,Russian,Tsentr nauchnykh i obrazovatelnykh proektov,No,CC BY,Yes
Вестник Воронежского государственного университета: Серия экономика и управление,1814-2966,,"Russian, English",Voronezh State University,No,CC BY,No
Сучасне мистецтво,2309-8813,2663-0362,"Ukrainian, English",National Academy of Arts of Ukraine. Modern Art Research Institute,No,CC BY-NC-SA,Yes
Український радіологічний та онкологічний журнал,2708-7166,2708-7174,"English, Ukrainian",National Academy of Medical Sciences of Ukraine.  Grigoriev Institute for Medical Radiology and Oncology,No,CC BY,Yes
Сучасні інформаційні системи,2522-9052,,"Ukrainian, English","National Technical University ""Kharkiv Polytechnic Institute""",No,CC BY-NC,Yes
Українська Інтервенційна Нейрорадіологія та Хірургія,2786-4855,2786-4863,"English, Russian, Ukrainian","NAMS of Ukraine, State Organization ""Scientific-Practical Center of Endovascular Neuroradiology, Non-Governmental Organization “All Ukrainian Association of Endovascular Neuroradiology, Shupyk National Healthcare University of Ukraine",No,CC BY,Yes
Journal of Mechanical Engineering,2709-2984,2709-2992,"Russian, Ukrainian, English","NAS of Ukraine, A. Pidhornyi Institute of Mechanical Engineering Problems",No,CC BY,No
Енциклопедичний Вісник України,2706-9990,2707-000X,"English, Ukrainian","National Academy of Sciences of Ukraine, Institute of Encyclopedic Research",No,CC BY,No
Perspectivas Revista de Ciencias Sociales,,2525-1112,"Spanish, Portuguese, English, Italian",Universidad Nacional de Rosario,No,CC BY-NC-SA,No
Transactions on Transport Sciences,,1802-9876,English,Palacký University Olomouc,No,CC BY,No
Historia Scholastica,1804-4913,2336-680X,"German, English, Slovak, Czech","The National Pedagogical Museum and Library of J. A. Comenius, Technical University of Liberec",No,CC BY-NC-ND,No
Zbornik radova Filozofskog fakulteta u Splitu,1846-9426,2459-5128,"Croatian, English, Italian","University of Split, Faculty of Humanities and Social Sciences in Split",No,CC BY,No
Filosofie Dnes,,1804-0969,"Slovak, English, Czech","University of Hradec Králové, Department of Philosophy and Social Sciences",No,CC BY,No
Acta Facultatis Philosophicae Universitatis Ostraviensis. Studia Germanistica,1803-408X,2571-0273,German,University of Ostrava,No,CC BY-NC,No
Studia Slavica,1803-5663,2571-0281,"Slovak, Czech, Russian, Polish, Ukrainian",University of Ostrava,No,CC BY-NC,No
Linguistica Brunensia,1803-7410,2336-4440,"Czech, English, Russian",Masaryk University,No,CC BY-NC-ND,No
Vilnius University Open Series,,2669-0535,"Lithuanian, English",Vilnius University Press,Yes,CC BY,No
Macedonian Journal of Chemistry and Chemical Engineering,1857-5552,1857-5625,English,Society of Chemists and Technologists of Macedonia,No,CC BY-NC,No
AICEI Proceedings,,2671-3713,English,University American College Skopje,No,CC BY,Yes
Bezbednosni Dijalozi,1857-7172,1857-8055,English,"Faculty of Philosophy, Ss. Cyril and Methodius University in Skopje",No,CC BY-NC,No
Dialogica: Revistă de Studii Culturale și Literatură,2587-3695,1857-2537,"Romanian, English, French",Moldova State University,No,CC BY,No
Mongolian Geoscientist,2220-0622,2663-5151,English,Mongolian University of Science and Technology,No,CC BY,No
Romanian Journal of Horticulture,2734-7656,2734-8083,English,Academy of Agricultural and Forestry Sciences,No,CC BY,No
Socialiniai Tyrimai,,2351-6712,"Lithuanian, English",Vilnius University Press,Yes,CC BY,Yes
"International Scientific Journal ""Monte""",2661-264X,2661-2666,English,"Institute for Scientific Research and Development, Ulcinj, Montenegro",No,CC BY-NC-ND,Yes
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,0255-965X,1842-4309,English,AcademicPres,No,CC BY,Yes
Bibliotheca Lituana,2424-3477,2424-4422,"English, Lithuanian",Vilnius University Press,Yes,CC BY,No
Edinost in Dialog,2335-4127,2385-8907,"English, German, Italian, Slovenian, Croatian","Faculty of Theology, University of Ljubljana, Slovenia, EU",No,CC BY,No
Educare,1316-6212,2244-7296,"English, Spanish",Universidad Pedagógica Experimental Libertador,No,CC BY-NC-SA,No
Slovak Journal of Sport Science,,2453-9325,English,Matej Bel University,No,CC BY-NC-ND,No
"Analele Universităţii din Craiova. Psihologie, Pedagogie",1582-313X,2668-6678,"French, English","Universitaria Publishing House, Craiova",No,CC BY-NC-ND,No
Әл-Фараби Атындағы Қазақ Ұлттық Университеті хабаршы шығыстану сериясы,1563-0226,2617-1864,"Kazakh, Russian, English",Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Studia Politica Slovaca,1337-8163,2585-8459,"Slovak, English, Czech",Institute of Political Science of Slovak Academy of Sciences,No,CC BY,No
Slavonic Pedagogical Studies Journal,1339-8660,1339-9055,"English, Slovak, Czech, Russian",Slovenská Vzdelávacia a Obstarávacia s.r.o.,No,CC BY-NC,Yes
Medzinárodné vzťahy,1336-1562,1339-2751,"Slovak, Czech, English",University of Economics in Bratislava,No,CC BY,No
Philosophy and the Mind Sciences,,2699-0369,English,MIND Group,No,"CC BY, CC BY-ND, CC BY-NC",No
Research in Film and History,,2627-5848,English,University of Bremen,No,CC BY-NC-ND,No
Bollettino della Società Italiana di Fotogrammetria e Topografia,1721-971X,,"English, Italian",Società Italiana di Fotogrammetria e Topografia,No,CC BY-SA,No
Italian Political Science,,2420-8434,English,Università degli Studi di Catania,No,CC BY-NC-ND,No
Philosophy Kitchen,,2385-1945,"Italian, English",Università degli Studi di Torino,No,CC BY,No
OrizzonteCina,2612-3479,2280-8035,"Chinese, English, Italian",Università degli Studi di Torino,No,CC BY-NC-SA,No
OS. Opificio della Storia,,2724-3192,"Spanish, French, English, Italian",SHARE Press,No,CC BY-NC-ND,No
Kwartalnik Historii Kultury Materialnej,0023-5881,2719-6496,"Polish, English",Institute of Archaeology and Ethnology Polish Academy of Sciences,No,CC BY,No
Archaeologia Polona,0066-5924,2719-6542,English,Institute of Archaeology and Ethnology Polish Academy of Sciences,No,CC BY,No
Ethnologia Polona,0137-4079,,English,Institute of Archaeology and Ethnology Polish Academy of Sciences,No,CC BY-NC-ND,No
Socjolingwistyka,0208-6808,2545-0468,"English, Polish","Institute of Polish Language, Polish Academy of Sciences",No,CC BY-ND,No
Nasza Przeszłość,0137-3218,,Polish,"Instytut Wydawniczy Księży Misjonarzy Redakcja ""Nasza Przeszłość""",No,CC BY-SA,No
Konteksty Pedagogiczne,2300-6471,,"Polish, English",Wydawnictwo LIBRON,No,CC BY-SA,No
Przegląd Europejski,1641-2478,2657-6023,"Polish, English, Russian, German",Wydawnictwa Uniwersytetu Warszawskiego,No,CC BY,No
International Journal for Students as Partners,,2560-7367,English,McMaster University Library Press,No,CC BY,No
Spectrum,,2561-7842,"English, French",University of Alberta Library,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",No
Critical Gambling Studies,,2563-190X,English,University of Alberta Library,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",No
Mathematics in Applied Sciences and Engineering,,2563-1926,English,Western Libraries,No,CC BY,No
Journal of the Council for Research on Religion,,2563-0288,"English, French",McGill University,No,CC BY-NC,No
Global Labour Journal,,1918-6711,English,McMaster University Library Press,No,CC BY-NC-ND,No
Shima,,1834-6057,English,Shima Publishing,No,CC BY-NC-ND,No
Obrana a Strategie,1214-6463,1802-7199,"Slovak, English, Czech",University of Defence,No,CC BY-ND,No
"Lingua Franca: Jurnal Bahasa, Sastra, dan Pengajarannya",2302-5778,2580-3255,Indonesian,UMSurabaya Publishing,No,CC BY-NC,No
GeoTextos,1809-189X,1984-5537,Portuguese,Universidade Federal da Bahia,No,CC BY,No
Intersections,,2068-3472,English,University of Bucharest,No,CC BY,No
Pizhūhish dar Bihdāsht-i Muḥīṭ.,,2423-5202,Persian,Mashhad University of Medical Sciences,No,CC BY-NC,No
Corvinus Journal of Sociology and Social Policy,2061-5558,2062-087X,English,Corvinus University of Budapest,No,Publisher's own license,No
Electronic Journal of Plant Breeding,,0975-928X,English,Indian Society of Plant Breeders,No,CC BY-NC,No
Journal of Urban and Landscape Planning,,2559-4141,English,Ion Mincu University of Architecture and Urban Planning,No,CC BY,No
Desafíos,0124-4035,2145-5112,"English, Spanish","Universidad del Rosario, Bogota",No,CC BY-NC,No
Caradde,2621-7961,2621-7910,Indonesian,ILIN Institute Makassar,No,CC BY,Yes
Journal of Neurocritical Care,2005-0348,2508-1349,"English, Korean",The Korean Neurocritical Care Society,No,CC BY-NC,No
Tradition & Discovery,1057-1027,2154-1566,English,The Polanyi Society,No,CC BY-NC-ND,No
Open Linguistics,,2300-9969,English,De Gruyter,Yes,CC BY,Yes
Український гідрометеорологічний журнал,2311-0902,2616-7271,"English, Russian, Ukrainian",Odessa State Environmental University,No,CC BY,No
Поволжский экологический журнал,1684-7318,2541-8963,"English, Russian",KMK Scientific Press Ltd.,No,CC BY,No
Colindancias: Revista de la Red de Hispanistas de Europa Central,2067-9092,2393-056X,Spanish,Editura Universităţii de Vest din Timişoara,No,CC BY,No
Faunistic Entomology,2030-6318,2295-7235,"English, French",University of Liege,No,CC BY-NC-SA,No
Vestnik Pravoslavnogo Svâto-Tihonovskogo Gumanitarnogo Universiteta: Seriâ III. Filologiâ,1991-6485,2409-4897,Russian,St. Tikhon's University,No,CC BY-NC-ND,No
Revista de Llengua i Dret - Journal of Language and Law,0212-5056,2013-1453,"Aragonese, Basque, Catalan, Dutch, English, French, Galician, German, Italian, Occitan (post 1500), Spanish",Escola d'Administració Pública de Catalunya,No,CC BY-NC-ND,No
Health Sciences and Diseases,1684-2782,2309-6535,"French, English",University of Yaoundé,No,CC BY,Yes
Scientific Papers: Series B. Horticulture,2285-5653,2286-1580,English,University of Agronomic Sciences and Veterinary Medicine of Bucharest,No,CC BY,Yes
Eksplorium: Buletin Pusat Pengembangan Bahan Galian Nuklir,0854-1418,2503-426X,"English, Indonesian",Center for Nuclear Minerals Technology,No,CC BY-NC-SA,No
Current Trends in Translation Teaching and Learning E,,2342-7205,English,"Department of Modern Languages, University of Helsinki",No,CC BY-NC,No
Babylon,1503-5727,2535-3098,"Norwegian Bokmål, Danish, Swedish",University of Oslo Library,No,CC BY-NC-ND,No
Elementary: Islamic Teacher Journal,2355-0155,2503-0256,Indonesian,Sekolah Tinggi Agama Islam Negeri (STAIN) Kudus,No,CC BY,No
Teknologi Pangan: Media Informasi dan Komunikasi Ilmiah Teknologi Pertanian,2087-9679,2597-436X,Indonesian,Universitas Yudharta Pasuruan,No,CC BY,Yes
Lisanuna: Jurnal Ilmu Bahasa Arab dan Pembelajarannya,2354-5577,2549-2802,"Indonesian, English, Arabic","Ar-Raniry State Islamic University of Aceh, Indonesia",No,CC BY-SA,No
